2425084	1542216386				
2425085	1542216410				
2425086	1542216502				
2425087	1542216568				
2425088	1542216584				
2425089	1542216586				
2425090	1542216625				
2425091	1542216634				
2425092	1542216655				
2425093	1542216676				
2425094	1542216677				
2425095	1542216881				
2425096	1542216940				
2425097	1542217072				
2425098	1542217229				
2425099	1542217265				
2425100	1542217284				
2425101	1542217323				
2425102	1542217324				
2425103	1542217383				
2425104	1542217432				
2425105	1542217469				
2425106	1542217470				
2425107	1542217587				
2425108	1542217606				
2425109	1542217614				
2425110	1542217648				
2425111	1542217651				
2425112	1542217717				
2425113	1542217720				
2425114	1542217742				
2425115	1542217780				
2425116	1542217797				
2425117	1542217810				
2425118	1542217935				
2425119	1542217977				
2425120	1542217993				
2425121	1542217996				
2425122	1542218015				
2425123	1542218029				
2425124	1542218032				
2425125	1542218127				
2425126	1542218201				
2425127	1542218203				
2425128	1542218210				
2425129	1542218224				
2425130	1542218369				
2425131	1542218466				
2425132	1542218572				
2425133	1542218656				
2425134	1542218702				
2425135	1542218769				
2425136	1542218837				
2425137	1542218847				
2425138	1542218857				
2425139	1542218918				
2425140	1542219015				
2425141	1542219016				
2425142	1542219019				
2425143	1542219090				
2425144	1542219158				
2425145	1542219227				
2425146	1542219250				
2425147	1542219269				
2425148	1542219317				
2425149	1542219335				
2425150	1542219335				
2425151	1542219350				
2425152	1542219374				
2425153	1542219445				
2425154	1542219485				
2425155	1542219486				
2425156	1542219557				
2425157	1542219582				
2425158	1542219700				
2425159	1542219702				
2425160	1542219743				
2425161	1542219852				
2425162	1542219866				
2425163	1542219872				
2425164	1542219873				
2425165	1542219877				
2425166	1542219883				
2425167	1542219902				
2425168	1542220065				
2425169	1542220079				
2425170	1542220135				
2425171	1542220139				
2425172	1542220169				
2425173	1542220269				
2425174	1542220371				
2425175	1542220383				
2425176	1542220406				
2425177	1542220579				
2425178	1542220685				
2425179	1542220690				
2425180	1542220721				
2425181	1542220794				
2425182	1542220869				
2425183	1542220892				
2425184	1542220947				
2425185	1542221069				
2425186	1542221077				
2425187	1542221096				
2425188	1542221180				
2425189	1542221182				
2425190	1542221183				
2425191	1542221201				
2425192	1542221269				
2425193	1542221324				
2425194	1542221387				
2425195	1542221480				
2425196	1542221535				
2425197	1542221538				
2425198	1542221609				
2425199	1542221655				
2425200	1542221659				
2425201	1542221674				
2425202	1542221697				
2425203	1542221840				
2425204	1542221970				
2425205	1542222072				
2425206	1542222117				
2425207	1542222158				
2425208	1542222168				
2425209	1542222179				
2425210	1542222188				
2425211	1542222300				
2425212	1542222543				
2425213	1542222556				
2425214	1542222728				
2425215	1542222822				
2425216	1542222870				
2425217	1542222947				
2425218	1542222963				
2425219	1542222978				
2425220	1542222995				
2425221	1542223017				
2425222	1542223023				
2425223	1542223161				
2425224	1542223186				
2425225	1542223314				
2425226	1542223338				
2425227	1542223351				
2425228	1542223458				
2425229	1542223460				
2425230	1542223717				
2425231	1542223861				
2425232	1542223977				
2425233	1542224069				
2425234	1542224179				
2425235	1542224246				
2425236	1542224335				
2425237	1542224345				
2425238	1542224353				
2425239	1542224398				
2425240	1542224482				
2425241	1542224547				
2425242	1542224581				
2425243	1542224594				
2425244	1542224693				
2425245	1542224749				
2425246	1542224753				
2425247	1542224797				
